medico_key,ci,nombre,matricula,sexo,especialidad,zona,ciudad,grupo_origen
22,1000022,Roberto Mendoza Salazar,MAT-00022,M,Ginecología,Zona Central,Cochabamba,G3
23,1000023,Alejandra Rojas Rodríguez,MAT-00023,M,Gastroenterología,Zona Este,Sucre,G3
24,1000024,Pablo Herrera Ramírez,MAT-00024,F,Medicina General,Zona Oeste,Oruro,G3
25,1000025,Carolina Medina Morales,MAT-00025,M,Urología,Plan 3000,Tarija,G3
26,1000026,Eduardo Aguilar Mendoza,MAT-00026,F,Medicina General,Equipetrol,Potosí,G3
27,1000027,Paola Vega Campos,MAT-00027,F,Neurología,Urbarí,Trinidad,G3
28,1000028,Sergio Castro Contreras,MAT-00028,M,Pediatría,Los Lotes,Cobija,G3
29,1000029,Claudia Campos López,MAT-00029,M,Psiquiatría,Pampa de la Isla,El Alto,G3
30,1000030,Héctor Delgado Flores,MAT-00030,F,Medicina General,Villa 1ro de Mayo,Santa Cruz,G3
31,1000031,Mónica Ríos Gutiérrez,MAT-00031,F,Pediatría,Radial 10,La Paz,G3
32,1000032,Raúl Núñez Herrera,MAT-00032,M,Traumatología,Radial 13,Cochabamba,G3
33,1000033,Patricia Ponce Ríos,MAT-00033,M,Cardiología,Radial 17,Sucre,G3
34,1000034,Gustavo Salazar Miranda,MAT-00034,F,Cardiología,Radial 26,Oruro,G3
35,1000035,Verónica Chávez Hernández,MAT-00035,F,Urología,Hamacas,Tarija,G3
36,1000036,Marco Contreras Gómez,MAT-00036,M,Traumatología,La Guardia,Potosí,G3
37,1000037,Lucía Espinoza Ramos,MAT-00037,M,Psiquiatría,Cotoca,Trinidad,G3
38,1000038,Álvaro Miranda Aguilar,MAT-00038,M,Traumatología,Warnes,Cobija,G3
39,1000039,Elena Molina Ponce,MAT-00039,M,Cardiología,Montero,El Alto,G3
40,1000040,Óscar García García,MAT-00040,M,Ginecología,Zona Norte,Santa Cruz,G3
41,1000041,Rosa Rodríguez Sánchez,MAT-00041,M,Gastroenterología,Zona Sur,La Paz,G3
42,1000042,Adrián Martínez Cruz,MAT-00042,F,Cardiología,Zona Central,Cochabamba,G3
43,1000043,Teresa López Castillo,MAT-00043,F,Oncología,Zona Este,Sucre,G3
44,1000044,César González Castro,MAT-00044,M,Medicina General,Zona Oeste,Oruro,G3
45,1000045,Marta Hernández Chávez,MAT-00045,F,Pediatría,Plan 3000,Tarija,G3
46,1000046,Iván Pérez Martínez,MAT-00046,F,Gastroenterología,Equipetrol,Potosí,G3
47,1000047,Beatriz Sánchez Torres,MAT-00047,F,Cardiología,Urbarí,Trinidad,G3
48,1000048,Tomás Ramírez Reyes,MAT-00048,F,Ginecología,Los Lotes,Cobija,G3
49,1000049,Silvia Torres Rojas,MAT-00049,F,Cardiología,Pampa de la Isla,El Alto,G3
50,1000050,Juan Flores Delgado,MAT-00050,M,Ginecología,Villa 1ro de Mayo,Santa Cruz,G3
51,1000051,María Rivera Espinoza,MAT-00051,F,Cardiología,Radial 10,La Paz,G3
52,1000052,Carlos Gómez González,MAT-00052,F,Medicina General,Radial 13,Cochabamba,G3
53,1000053,Ana Díaz Rivera,MAT-00053,F,Endocrinología,Radial 17,Sucre,G3
54,1000054,Pedro Cruz Ortiz,MAT-00054,M,Cardiología,Radial 26,Oruro,G3
55,1000055,Laura Morales Medina,MAT-00055,M,Ginecología,Hamacas,Tarija,G3
56,1000056,Miguel Reyes Núñez,MAT-00056,M,Pediatría,La Guardia,Potosí,G3
57,1000057,Sofía Gutiérrez Molina,MAT-00057,F,Dermatología,Cotoca,Trinidad,G3
58,1000058,Diego Ortiz Pérez,MAT-00058,M,Endocrinología,Warnes,Cobija,G3
59,1000059,Valentina Ramos Díaz,MAT-00059,M,Pediatría,Montero,El Alto,G3
60,1000060,Jorge Vargas Vargas,MAT-00060,M,Psiquiatría,Zona Norte,Santa Cruz,G3
61,1000061,Camila Castillo Vega,MAT-00061,M,Medicina General,Zona Sur,La Paz,G3
62,1000062,Luis Mendoza Salazar,MAT-00062,M,Medicina General,Zona Central,Cochabamba,G3
63,1000063,Fernanda Rojas Rodríguez,MAT-00063,F,Pediatría,Zona Este,Sucre,G3
64,1000064,Andrés Herrera Ramírez,MAT-00064,F,Neumología,Zona Oeste,Oruro,G3
65,1000065,Gabriela Medina Morales,MAT-00065,F,Otorrinolaringología,Plan 3000,Tarija,G3
66,1000066,José Aguilar Mendoza,MAT-00066,F,Neurología,Equipetrol,Potosí,G3
67,1000067,Isabella Vega Campos,MAT-00067,F,Dermatología,Urbarí,Trinidad,G3
68,1000068,Ricardo Castro Contreras,MAT-00068,M,Pediatría,Los Lotes,Cobija,G3
69,1000069,Daniela Campos López,MAT-00069,F,Dermatología,Pampa de la Isla,El Alto,G3
70,1000070,Fernando Delgado Flores,MAT-00070,M,Gastroenterología,Villa 1ro de Mayo,Santa Cruz,G3
71,1000071,Natalia Ríos Gutiérrez,MAT-00071,M,Endocrinología,Radial 10,La Paz,G3
72,1000072,Roberto Núñez Herrera,MAT-00072,M,Pediatría,Radial 13,Cochabamba,G3
73,1000073,Alejandra Ponce Ríos,MAT-00073,M,Neurología,Radial 17,Sucre,G3
74,1000074,Pablo Salazar Miranda,MAT-00074,F,Dermatología,Radial 26,Oruro,G3
75,1000075,Carolina Chávez Hernández,MAT-00075,M,Cardiología,Hamacas,Tarija,G3
76,1000076,Eduardo Contreras Gómez,MAT-00076,F,Neumología,La Guardia,Potosí,G3
77,1000077,Paola Espinoza Ramos,MAT-00077,F,Traumatología,Cotoca,Trinidad,G3
78,1000078,Sergio Miranda Aguilar,MAT-00078,F,Pediatría,Warnes,Cobija,G3
79,1000079,Claudia Molina Ponce,MAT-00079,M,Dermatología,Montero,El Alto,G3
80,1000080,Héctor García García,MAT-00080,M,Ginecología,Zona Norte,Santa Cruz,G3
81,1000081,Mónica Rodríguez Sánchez,MAT-00081,M,Neurología,Zona Sur,La Paz,G3
82,1000082,Raúl Martínez Cruz,MAT-00082,F,Dermatología,Zona Central,Cochabamba,G3
83,1000083,Patricia López Castillo,MAT-00083,M,Urología,Zona Este,Sucre,G3
84,1000084,Gustavo González Castro,MAT-00084,F,Otorrinolaringología,Zona Oeste,Oruro,G3
85,1000085,Verónica Hernández Chávez,MAT-00085,M,Medicina General,Plan 3000,Tarija,G3
86,1000086,Marco Pérez Martínez,MAT-00086,M,Cardiología,Equipetrol,Potosí,G3
87,1000087,Lucía Sánchez Torres,MAT-00087,F,Gastroenterología,Urbarí,Trinidad,G3
88,1000088,Álvaro Ramírez Reyes,MAT-00088,M,Medicina General,Los Lotes,Cobija,G3
89,1000089,Elena Torres Rojas,MAT-00089,F,Cardiología,Pampa de la Isla,El Alto,G3
90,1000090,Óscar Flores Delgado,MAT-00090,M,Cardiología,Villa 1ro de Mayo,Santa Cruz,G3
91,1000091,Rosa Rivera Espinoza,MAT-00091,F,Medicina General,Radial 10,La Paz,G3
92,1000092,Adrián Gómez González,MAT-00092,F,Pediatría,Radial 13,Cochabamba,G3
93,1000093,Teresa Díaz Rivera,MAT-00093,M,Oftalmología,Radial 17,Sucre,G3
94,1000094,César Cruz Ortiz,MAT-00094,F,Cardiología,Radial 26,Oruro,G3
95,1000095,Marta Morales Medina,MAT-00095,M,Pediatría,Hamacas,Tarija,G3
96,1000096,Iván Reyes Núñez,MAT-00096,F,Pediatría,La Guardia,Potosí,G3
97,1000097,Beatriz Gutiérrez Molina,MAT-00097,M,Dermatología,Cotoca,Trinidad,G3
98,1000098,Tomás Ortiz Pérez,MAT-00098,M,Pediatría,Warnes,Cobija,G3
99,1000099,Silvia Ramos Díaz,MAT-00099,F,Dermatología,Montero,El Alto,G3
100,1000100,Juan Vargas Vargas,MAT-00100,F,Cardiología,Zona Norte,Santa Cruz,G3
101,1000101,María Castillo Vega,MAT-00101,M,Traumatología,Zona Sur,La Paz,G3
102,1000102,Carlos Mendoza Salazar,MAT-00102,F,Neurología,Zona Central,Cochabamba,G3
103,1000103,Ana Rojas Rodríguez,MAT-00103,M,Gastroenterología,Zona Este,Sucre,G3
104,1000104,Pedro Herrera Ramírez,MAT-00104,F,Medicina General,Zona Oeste,Oruro,G3
105,1000105,Laura Medina Morales,MAT-00105,F,Medicina General,Plan 3000,Tarija,G3
106,1000106,Miguel Aguilar Mendoza,MAT-00106,M,Endocrinología,Equipetrol,Potosí,G3
107,1000107,Sofía Vega Campos,MAT-00107,F,Pediatría,Urbarí,Trinidad,G3
108,1000108,Diego Castro Contreras,MAT-00108,F,Neurología,Los Lotes,Cobija,G3
109,1000109,Valentina Campos López,MAT-00109,M,Oftalmología,Pampa de la Isla,El Alto,G3
110,1000110,Jorge Delgado Flores,MAT-00110,F,Traumatología,Villa 1ro de Mayo,Santa Cruz,G3
111,1000111,Camila Ríos Gutiérrez,MAT-00111,M,Psiquiatría,Radial 10,La Paz,G3
112,1000112,Luis Núñez Herrera,MAT-00112,F,Cardiología,Radial 13,Cochabamba,G3
113,1000113,Fernanda Ponce Ríos,MAT-00113,F,Dermatología,Radial 17,Sucre,G3
114,1000114,Andrés Salazar Miranda,MAT-00114,F,Medicina General,Radial 26,Oruro,G3
115,1000115,Gabriela Chávez Hernández,MAT-00115,F,Cardiología,Hamacas,Tarija,G3
116,1000116,José Contreras Gómez,MAT-00116,F,Pediatría,La Guardia,Potosí,G3
117,1000117,Isabella Espinoza Ramos,MAT-00117,F,Dermatología,Cotoca,Trinidad,G3
118,1000118,Ricardo Miranda Aguilar,MAT-00118,M,Pediatría,Warnes,Cobija,G3
119,1000119,Daniela Molina Ponce,MAT-00119,F,Dermatología,Montero,El Alto,G3
120,1000120,Fernando García García,MAT-00120,F,Ginecología,Zona Norte,Santa Cruz,G3
121,1000121,Natalia Rodríguez Sánchez,MAT-00121,F,Urología,Zona Sur,La Paz,G3
122,1000122,Roberto Martínez Cruz,MAT-00122,M,Traumatología,Zona Central,Cochabamba,G3
123,1000123,Alejandra López Castillo,MAT-00123,F,Cardiología,Zona Este,Sucre,G3
124,1000124,Pablo González Castro,MAT-00124,F,Neurología,Zona Oeste,Oruro,G3
125,1000125,Carolina Hernández Chávez,MAT-00125,M,Medicina General,Plan 3000,Tarija,G3
126,1000126,Eduardo Pérez Martínez,MAT-00126,F,Pediatría,Equipetrol,Potosí,G3
127,1000127,Paola Sánchez Torres,MAT-00127,F,Gastroenterología,Urbarí,Trinidad,G3
128,1000128,Sergio Ramírez Reyes,MAT-00128,M,Gastroenterología,Los Lotes,Cobija,G3
129,1000129,Claudia Torres Rojas,MAT-00129,F,Pediatría,Pampa de la Isla,El Alto,G3
130,1000130,Héctor Flores Delgado,MAT-00130,M,Pediatría,Villa 1ro de Mayo,Santa Cruz,G3
131,1000131,Mónica Rivera Espinoza,MAT-00131,M,Cardiología,Radial 10,La Paz,G3
132,1000132,Raúl Gómez González,MAT-00132,F,Cardiología,Radial 13,Cochabamba,G3
133,1000133,Patricia Díaz Rivera,MAT-00133,M,Otorrinolaringología,Radial 17,Sucre,G3
134,1000134,Gustavo Cruz Ortiz,MAT-00134,M,Medicina General,Radial 26,Oruro,G3
135,1000135,Verónica Morales Medina,MAT-00135,F,Pediatría,Hamacas,Tarija,G3
136,1000136,Marco Reyes Núñez,MAT-00136,F,Dermatología,La Guardia,Potosí,G3
137,1000137,Lucía Gutiérrez Molina,MAT-00137,M,Pediatría,Cotoca,Trinidad,G3
138,1000138,Álvaro Ortiz Pérez,MAT-00138,F,Pediatría,Warnes,Cobija,G3
139,1000139,Elena Ramos Díaz,MAT-00139,F,Pediatría,Montero,El Alto,G3
140,1000140,Óscar Vargas Vargas,MAT-00140,M,Medicina General,Zona Norte,Santa Cruz,G3
141,1000141,Rosa Castillo Vega,MAT-00141,M,Oftalmología,Zona Sur,La Paz,G3
142,1000142,Adrián Mendoza Salazar,MAT-00142,F,Medicina General,Zona Central,Cochabamba,G3
143,1000143,Teresa Rojas Rodríguez,MAT-00143,F,Pediatría,Zona Este,Sucre,G3
144,1000144,César Herrera Ramírez,MAT-00144,F,Medicina General,Zona Oeste,Oruro,G3
145,1000145,Marta Medina Morales,MAT-00145,M,Neurología,Plan 3000,Tarija,G3
146,1000146,Iván Aguilar Mendoza,MAT-00146,F,Dermatología,Equipetrol,Potosí,G3
147,1000147,Beatriz Vega Campos,MAT-00147,M,Traumatología,Urbarí,Trinidad,G3
148,1000148,Tomás Castro Contreras,MAT-00148,M,Cardiología,Los Lotes,Cobija,G3
149,1000149,Silvia Campos López,MAT-00149,M,Traumatología,Pampa de la Isla,El Alto,G3
150,1000150,Juan Delgado Flores,MAT-00150,M,Medicina General,Villa 1ro de Mayo,Santa Cruz,G3
151,1000151,María Ríos Gutiérrez,MAT-00151,F,Dermatología,Radial 10,La Paz,G3
152,1000152,Carlos Núñez Herrera,MAT-00152,M,Otorrinolaringología,Radial 13,Cochabamba,G3
153,1000153,Ana Ponce Ríos,MAT-00153,M,Neurología,Radial 17,Sucre,G3
154,1000154,Pedro Salazar Miranda,MAT-00154,M,Neurología,Radial 26,Oruro,G3
155,1000155,Laura Chávez Hernández,MAT-00155,M,Neumología,Hamacas,Tarija,G3
156,1000156,Miguel Contreras Gómez,MAT-00156,F,Pediatría,La Guardia,Potosí,G3
157,1000157,Sofía Espinoza Ramos,MAT-00157,F,Pediatría,Cotoca,Trinidad,G3
158,1000158,Diego Miranda Aguilar,MAT-00158,F,Pediatría,Warnes,Cobija,G3
159,1000159,Valentina Molina Ponce,MAT-00159,F,Medicina General,Montero,El Alto,G3
160,1000160,Jorge García García,MAT-00160,M,Gastroenterología,Zona Norte,Santa Cruz,G3
161,1000161,Camila Rodríguez Sánchez,MAT-00161,F,Psiquiatría,Zona Sur,La Paz,G3
162,1000162,Luis Martínez Cruz,MAT-00162,F,Traumatología,Zona Central,Cochabamba,G3
163,1000163,Fernanda López Castillo,MAT-00163,F,Neurología,Zona Este,Sucre,G3
164,1000164,Andrés González Castro,MAT-00164,M,Pediatría,Zona Oeste,Oruro,G3
165,1000165,Gabriela Hernández Chávez,MAT-00165,F,Dermatología,Plan 3000,Tarija,G3
166,1000166,José Pérez Martínez,MAT-00166,F,Dermatología,Equipetrol,Potosí,G3
167,1000167,Isabella Sánchez Torres,MAT-00167,F,Neurología,Urbarí,Trinidad,G3
168,1000168,Ricardo Ramírez Reyes,MAT-00168,M,Cardiología,Los Lotes,Cobija,G3
169,1000169,Daniela Torres Rojas,MAT-00169,F,Oncología,Pampa de la Isla,El Alto,G3
170,1000170,Fernando Flores Delgado,MAT-00170,M,Dermatología,Villa 1ro de Mayo,Santa Cruz,G3
171,1000171,Natalia Rivera Espinoza,MAT-00171,M,Oftalmología,Radial 10,La Paz,G3
172,1000172,Roberto Gómez González,MAT-00172,M,Pediatría,Radial 13,Cochabamba,G3
173,1000173,Alejandra Díaz Rivera,MAT-00173,F,Cardiología,Radial 17,Sucre,G3
174,1000174,Pablo Cruz Ortiz,MAT-00174,M,Neurología,Radial 26,Oruro,G3
175,1000175,Carolina Morales Medina,MAT-00175,M,Medicina General,Hamacas,Tarija,G3
176,1000176,Eduardo Reyes Núñez,MAT-00176,M,Traumatología,La Guardia,Potosí,G3
177,1000177,Paola Gutiérrez Molina,MAT-00177,M,Dermatología,Cotoca,Trinidad,G3
178,1000178,Sergio Ortiz Pérez,MAT-00178,F,Neumología,Warnes,Cobija,G3
179,1000179,Claudia Ramos Díaz,MAT-00179,M,Medicina General,Montero,El Alto,G3
180,1000180,Héctor Vargas Vargas,MAT-00180,F,Traumatología,Zona Norte,Santa Cruz,G3
181,1000181,Mónica Castillo Vega,MAT-00181,F,Oncología,Zona Sur,La Paz,G3
182,1000182,Raúl Mendoza Salazar,MAT-00182,F,Urología,Zona Central,Cochabamba,G3
183,1000183,Patricia Rojas Rodríguez,MAT-00183,F,Pediatría,Zona Este,Sucre,G3
184,1000184,Gustavo Herrera Ramírez,MAT-00184,M,Medicina General,Zona Oeste,Oruro,G3
185,1000185,Verónica Medina Morales,MAT-00185,M,Pediatría,Plan 3000,Tarija,G3
186,1000186,Marco Aguilar Mendoza,MAT-00186,F,Neurología,Equipetrol,Potosí,G3
187,1000187,Lucía Vega Campos,MAT-00187,F,Cardiología,Urbarí,Trinidad,G3
188,1000188,Álvaro Castro Contreras,MAT-00188,M,Pediatría,Los Lotes,Cobija,G3
189,1000189,Elena Campos López,MAT-00189,F,Oftalmología,Pampa de la Isla,El Alto,G3
190,1000190,Óscar Delgado Flores,MAT-00190,F,Neumología,Villa 1ro de Mayo,Santa Cruz,G3
191,1000191,Rosa Ríos Gutiérrez,MAT-00191,F,Neumología,Radial 10,La Paz,G3
192,1000192,Adrián Núñez Herrera,MAT-00192,M,Oncología,Radial 13,Cochabamba,G3
193,1000193,Teresa Ponce Ríos,MAT-00193,F,Ginecología,Radial 17,Sucre,G3
194,1000194,César Salazar Miranda,MAT-00194,M,Traumatología,Radial 26,Oruro,G3
195,1000195,Marta Chávez Hernández,MAT-00195,M,Dermatología,Hamacas,Tarija,G3
196,1000196,Iván Contreras Gómez,MAT-00196,M,Dermatología,La Guardia,Potosí,G3
197,1000197,Beatriz Espinoza Ramos,MAT-00197,M,Oftalmología,Cotoca,Trinidad,G3
198,1000198,Tomás Miranda Aguilar,MAT-00198,M,Medicina General,Warnes,Cobija,G3
199,1000199,Silvia Molina Ponce,MAT-00199,M,Neumología,Montero,El Alto,G3
200,1000200,Juan García García,MAT-00200,F,Pediatría,Zona Norte,Santa Cruz,G3
201,1000201,María Rodríguez Sánchez,MAT-00201,M,Medicina General,Zona Sur,La Paz,G3
202,1000202,Carlos Martínez Cruz,MAT-00202,F,Cardiología,Zona Central,Cochabamba,G3
203,1000203,Ana López Castillo,MAT-00203,M,Cardiología,Zona Este,Sucre,G3
204,1000204,Pedro González Castro,MAT-00204,M,Pediatría,Zona Oeste,Oruro,G3
205,1000205,Laura Hernández Chávez,MAT-00205,M,Ginecología,Plan 3000,Tarija,G3
206,1000206,Miguel Pérez Martínez,MAT-00206,F,Dermatología,Equipetrol,Potosí,G3
207,1000207,Sofía Sánchez Torres,MAT-00207,M,Dermatología,Urbarí,Trinidad,G3
208,1000208,Diego Ramírez Reyes,MAT-00208,M,Cardiología,Los Lotes,Cobija,G3
209,1000209,Valentina Torres Rojas,MAT-00209,M,Ginecología,Pampa de la Isla,El Alto,G3
210,1000210,Jorge Flores Delgado,MAT-00210,F,Urología,Villa 1ro de Mayo,Santa Cruz,G3
211,1000211,Camila Rivera Espinoza,MAT-00211,M,Medicina General,Radial 10,La Paz,G3
212,1000212,Luis Gómez González,MAT-00212,F,Medicina General,Radial 13,Cochabamba,G3
213,1000213,Fernanda Díaz Rivera,MAT-00213,M,Ginecología,Radial 17,Sucre,G3
214,1000214,Andrés Cruz Ortiz,MAT-00214,M,Ginecología,Radial 26,Oruro,G3
215,1000215,Gabriela Morales Medina,MAT-00215,M,Ginecología,Hamacas,Tarija,G3
216,1000216,José Reyes Núñez,MAT-00216,F,Endocrinología,La Guardia,Potosí,G3
217,1000217,Isabella Gutiérrez Molina,MAT-00217,M,Pediatría,Cotoca,Trinidad,G3
218,1000218,Ricardo Ortiz Pérez,MAT-00218,F,Pediatría,Warnes,Cobija,G3
219,1000219,Daniela Ramos Díaz,MAT-00219,M,Cardiología,Montero,El Alto,G3
220,1000220,Fernando Vargas Vargas,MAT-00220,M,Medicina General,Zona Norte,Santa Cruz,G3
221,1000221,Natalia Castillo Vega,MAT-00221,F,Pediatría,Zona Sur,La Paz,G3
222,1000222,Roberto Mendoza Salazar,MAT-00222,M,Otorrinolaringología,Zona Central,Cochabamba,G3
223,1000223,Alejandra Rojas Rodríguez,MAT-00223,F,Neurología,Zona Este,Sucre,G3
224,1000224,Pablo Herrera Ramírez,MAT-00224,M,Pediatría,Zona Oeste,Oruro,G3
225,1000225,Carolina Medina Morales,MAT-00225,M,Medicina General,Plan 3000,Tarija,G3
226,1000226,Eduardo Aguilar Mendoza,MAT-00226,M,Cardiología,Equipetrol,Potosí,G3
227,1000227,Paola Vega Campos,MAT-00227,M,Cardiología,Urbarí,Trinidad,G3
228,1000228,Sergio Castro Contreras,MAT-00228,F,Oftalmología,Los Lotes,Cobija,G3
229,1000229,Claudia Campos López,MAT-00229,F,Pediatría,Pampa de la Isla,El Alto,G3
230,1000230,Héctor Delgado Flores,MAT-00230,M,Ginecología,Villa 1ro de Mayo,Santa Cruz,G3
231,1000231,Mónica Ríos Gutiérrez,MAT-00231,M,Dermatología,Radial 10,La Paz,G3
232,1000232,Raúl Núñez Herrera,MAT-00232,M,Pediatría,Radial 13,Cochabamba,G3
233,1000233,Patricia Ponce Ríos,MAT-00233,M,Gastroenterología,Radial 17,Sucre,G3
234,1000234,Gustavo Salazar Miranda,MAT-00234,M,Traumatología,Radial 26,Oruro,G3
235,1000235,Verónica Chávez Hernández,MAT-00235,M,Neumología,Hamacas,Tarija,G3
236,1000236,Marco Contreras Gómez,MAT-00236,F,Pediatría,La Guardia,Potosí,G3
237,1000237,Lucía Espinoza Ramos,MAT-00237,F,Pediatría,Cotoca,Trinidad,G3
238,1000238,Álvaro Miranda Aguilar,MAT-00238,F,Gastroenterología,Warnes,Cobija,G3
239,1000239,Elena Molina Ponce,MAT-00239,M,Traumatología,Montero,El Alto,G3
240,1000240,Óscar García García,MAT-00240,M,Psiquiatría,Zona Norte,Santa Cruz,G3
241,1000241,Rosa Rodríguez Sánchez,MAT-00241,M,Neumología,Zona Sur,La Paz,G3
242,1000242,Adrián Martínez Cruz,MAT-00242,M,Gastroenterología,Zona Central,Cochabamba,G3
243,1000243,Teresa López Castillo,MAT-00243,F,Dermatología,Zona Este,Sucre,G3
244,1000244,César González Castro,MAT-00244,M,Dermatología,Zona Oeste,Oruro,G3
245,1000245,Marta Hernández Chávez,MAT-00245,M,Gastroenterología,Plan 3000,Tarija,G3
246,1000246,Iván Pérez Martínez,MAT-00246,M,Urología,Equipetrol,Potosí,G3
247,1000247,Beatriz Sánchez Torres,MAT-00247,F,Medicina General,Urbarí,Trinidad,G3
248,1000248,Tomás Ramírez Reyes,MAT-00248,F,Neurología,Los Lotes,Cobija,G3
249,1000249,Silvia Torres Rojas,MAT-00249,M,Medicina General,Pampa de la Isla,El Alto,G3
250,1000250,Juan Flores Delgado,MAT-00250,F,Medicina General,Villa 1ro de Mayo,Santa Cruz,G3
251,1000251,María Rivera Espinoza,MAT-00251,F,Dermatología,Radial 10,La Paz,G3
252,1000252,Carlos Gómez González,MAT-00252,F,Dermatología,Radial 13,Cochabamba,G3
253,1000253,Ana Díaz Rivera,MAT-00253,F,Medicina General,Radial 17,Sucre,G3
254,1000254,Pedro Cruz Ortiz,MAT-00254,F,Dermatología,Radial 26,Oruro,G3
255,1000255,Laura Morales Medina,MAT-00255,M,Medicina General,Hamacas,Tarija,G3
256,1000256,Miguel Reyes Núñez,MAT-00256,M,Cardiología,La Guardia,Potosí,G3
257,1000257,Sofía Gutiérrez Molina,MAT-00257,M,Dermatología,Cotoca,Trinidad,G3
258,1000258,Diego Ortiz Pérez,MAT-00258,F,Medicina General,Warnes,Cobija,G3
259,1000259,Valentina Ramos Díaz,MAT-00259,F,Pediatría,Montero,El Alto,G3
260,1000260,Jorge Vargas Vargas,MAT-00260,M,Medicina General,Zona Norte,Santa Cruz,G3
261,1000261,Camila Castillo Vega,MAT-00261,F,Cardiología,Zona Sur,La Paz,G3
262,1000262,Luis Mendoza Salazar,MAT-00262,M,Cardiología,Zona Central,Cochabamba,G3
263,1000263,Fernanda Rojas Rodríguez,MAT-00263,F,Medicina General,Zona Este,Sucre,G3
264,1000264,Andrés Herrera Ramírez,MAT-00264,F,Pediatría,Zona Oeste,Oruro,G3
265,1000265,Gabriela Medina Morales,MAT-00265,M,Traumatología,Plan 3000,Tarija,G3
266,1000266,José Aguilar Mendoza,MAT-00266,F,Pediatría,Equipetrol,Potosí,G3
267,1000267,Isabella Vega Campos,MAT-00267,M,Otorrinolaringología,Urbarí,Trinidad,G3
268,1000268,Ricardo Castro Contreras,MAT-00268,F,Neurología,Los Lotes,Cobija,G3
269,1000269,Daniela Campos López,MAT-00269,M,Medicina General,Pampa de la Isla,El Alto,G3
270,1000270,Fernando Delgado Flores,MAT-00270,F,Medicina General,Villa 1ro de Mayo,Santa Cruz,G3
271,1000271,Natalia Ríos Gutiérrez,MAT-00271,M,Oncología,Radial 10,La Paz,G3
272,1000272,Roberto Núñez Herrera,MAT-00272,M,Otorrinolaringología,Radial 13,Cochabamba,G3
273,1000273,Alejandra Ponce Ríos,MAT-00273,F,Gastroenterología,Radial 17,Sucre,G3
274,1000274,Pablo Salazar Miranda,MAT-00274,F,Medicina General,Radial 26,Oruro,G3
275,1000275,Carolina Chávez Hernández,MAT-00275,M,Cardiología,Hamacas,Tarija,G3
276,1000276,Eduardo Contreras Gómez,MAT-00276,F,Oftalmología,La Guardia,Potosí,G3
277,1000277,Paola Espinoza Ramos,MAT-00277,M,Traumatología,Cotoca,Trinidad,G3
278,1000278,Sergio Miranda Aguilar,MAT-00278,M,Pediatría,Warnes,Cobija,G3
279,1000279,Claudia Molina Ponce,MAT-00279,M,Medicina General,Montero,El Alto,G3
280,1000280,Héctor García García,MAT-00280,M,Medicina General,Zona Norte,Santa Cruz,G3
281,1000281,Mónica Rodríguez Sánchez,MAT-00281,F,Pediatría,Zona Sur,La Paz,G3
282,1000282,Raúl Martínez Cruz,MAT-00282,M,Neumología,Zona Central,Cochabamba,G3
283,1000283,Patricia López Castillo,MAT-00283,F,Pediatría,Zona Este,Sucre,G3
284,1000284,Gustavo González Castro,MAT-00284,M,Medicina General,Zona Oeste,Oruro,G3
