paciente_key,sucursal_key,ci,nombre,fecha_nacimiento,sexo,direccion,telefono,zona,ciudad,grupo_origen
485,1,2000485,Laura Morales Medina,2000-07-03,F,Calle Sucre #985,61376802,Villa 1ro de Mayo,Santa Cruz,G3
486,1,2000486,Diego Aguilar Miranda,1961-07-20,M,Av. Independencia #986,66809833,Zona Norte,Santa Cruz,G3
487,1,2000487,Camila Espinoza Rivera,1979-09-16,M,Calle Junín #987,61477624,Zona Este,Sucre,G3
488,1,2000488,Andrés Ramírez Herrera,1988-10-12,M,Av. Brasil #988,68615204,Plan 3000,Tarija,G3
489,1,2000489,Isabella Ramos Espinoza,1991-06-23,F,Calle Colón #989,63784315,Plan 3000,Tarija,G3
490,1,2000490,Fernando Delgado Flores,1977-10-11,M,Av. Busch #990,63338787,Zona Norte,Santa Cruz,G3
555,1,2000555,Gabriela Medina Morales,1965-07-22,F,Calle Bolívar #1055,63517194,Warnes,Cobija,G3
619,1,2000619,Sofía Torres Sánchez,1963-08-26,M,Calle Junín #1119,63151841,Zona Norte,Santa Cruz,G3
620,1,2000620,Jorge Vargas Vargas,1992-05-01,F,Av. Brasil #1120,65743272,Plan 3000,Tarija,G3
684,1,2000684,Carlos González Gómez,1995-03-08,M,Av. Principal #1184,63467238,Zona Central,Cochabamba,G3
685,1,2000685,Laura Morales Medina,1979-12-20,M,Calle Comercio #1185,64437864,Plan 3000,Tarija,G3
686,1,2000686,Diego Aguilar Miranda,2000-04-01,F,Av. Libertad #1186,69734363,Radial 13,Cochabamba,G3
687,1,2000687,Camila Espinoza Rivera,1967-09-17,F,Calle Bolívar #1187,64271825,Hamacas,Tarija,G3
751,1,2000751,Ana Castillo López,1974-07-05,M,Calle Junín #1251,61023184,Zona Este,Sucre,G3
752,1,2000752,Miguel Núñez Reyes,1977-05-12,M,Av. Brasil #1252,61512092,Equipetrol,Potosí,G3
816,1,2000816,Tomás Reyes Ramírez,1970-03-10,F,Av. Principal #1316,67565868,Zona Este,Sucre,G3
817,1,2000817,María Vega Castillo,1988-08-03,M,Calle Comercio #1317,62042551,Radial 10,La Paz,G3
818,1,2000818,Pedro Miranda Salazar,2001-02-23,M,Av. Libertad #1318,66373876,Plan 3000,Tarija,G3
819,1,2000819,Sofía Torres Sánchez,1965-10-30,M,Calle Bolívar #1319,61698272,Urbarí,Trinidad,G3
820,1,2000820,Jorge Vargas Vargas,2006-03-07,F,Av. San Martín #1320,67339228,Zona Norte,Santa Cruz,G3
821,1,2000821,Fernanda Ríos Ponce,1951-09-06,M,Calle Sucre #1321,68071790,Zona Central,Cochabamba,G3
886,1,2000886,Diego Aguilar Miranda,1972-10-01,M,Av. Busch #1386,62251368,Radial 17,Sucre,G3
887,1,2000887,Camila Espinoza Rivera,1980-02-10,M,Calle Jordán #1387,64673834,Zona Norte,Santa Cruz,G3
888,1,2000888,Andrés Ramírez Herrera,1952-11-16,F,Av. Principal #1388,61288251,Urbarí,Trinidad,G3
889,1,2000889,Isabella Ramos Espinoza,1967-10-25,M,Calle Comercio #1389,62523424,Zona Norte,Santa Cruz,G3
890,1,2000890,Fernando Delgado Flores,1950-12-31,M,Av. Libertad #1390,67210585,Zona Sur,La Paz,G3
954,1,2000954,Luis Cruz Martínez,1975-05-17,F,Av. Independencia #1454,62065079,Plan 3000,Tarija,G3
955,1,2000955,Gabriela Medina Morales,1974-11-09,M,Calle Junín #1455,63791618,Zona Sur,La Paz,G3
956,1,2000956,Ricardo Contreras Castro,1999-09-03,M,Av. Brasil #1456,63804780,Zona Sur,La Paz,G3
957,1,2000957,Natalia Sánchez Rodríguez,1961-08-03,M,Calle Colón #1457,67917943,Zona Norte,Santa Cruz,G3
958,1,2000958,Pablo Ortiz Cruz,1986-07-22,M,Av. Busch #1458,62419369,Equipetrol,Potosí,G3
959,1,2000959,Paola Campos Vega,1967-08-27,F,Calle Jordán #1459,69160702,Plan 3000,Tarija,G3
960,1,2000960,Héctor García García,2006-06-12,F,Av. Principal #1460,62554506,Radial 13,Cochabamba,G3
961,1,2000961,Patricia Rivera Díaz,2000-06-15,M,Calle Comercio #1461,67712340,La Guardia,Potosí,G3
962,1,2000962,Marco Mendoza Aguilar,1965-09-30,M,Av. Libertad #1462,68518972,Zona Norte,Santa Cruz,G3
963,1,2000963,Elena Ponce Molina,1955-04-26,F,Calle Bolívar #1463,63627719,Zona Este,Sucre,G3
964,1,2000964,Adrián González Gómez,1975-05-28,M,Av. San Martín #1464,69463667,Plan 3000,Tarija,G3
965,1,2000965,Marta Morales Medina,1957-01-08,F,Calle Sucre #1465,66233770,Zona Oeste,Oruro,G3
966,1,2000966,Tomás Aguilar Miranda,1994-11-21,M,Av. Independencia #1466,66475771,Plan 3000,Tarija,G3
967,1,2000967,María Espinoza Rivera,1979-11-14,M,Calle Junín #1467,64123451,Zona Norte,Santa Cruz,G3
968,1,2000968,Pedro Ramírez Herrera,2017-11-26,F,Av. Brasil #1468,64783477,Plan 3000,Tarija,G3
969,1,2000969,Sofía Ramos Espinoza,1951-01-12,M,Calle Colón #1469,69482156,Plan 3000,Tarija,G3
970,1,2000970,Jorge Delgado Flores,1958-08-30,F,Av. Busch #1470,62835739,Montero,El Alto,G3
971,1,2000971,Fernanda Rodríguez Rojas,1989-02-20,F,Calle Jordán #1471,61668438,Montero,El Alto,G3
972,1,2000972,José Gómez Contreras,2005-08-05,F,Av. Principal #1472,69257437,Los Lotes,Cobija,G3
973,1,2000973,Daniela Rojas Torres,2007-03-10,M,Calle Comercio #1473,63959314,Plan 3000,Tarija,G3
974,1,2000974,Roberto Salazar Mendoza,1967-11-24,F,Av. Libertad #1474,61349904,Warnes,Cobija,G3
975,1,2000975,Carolina Hernández Chávez,2006-04-14,M,Calle Bolívar #1475,62654257,Urbarí,Trinidad,G3
976,1,2000976,Sergio Reyes Ramírez,2017-07-22,F,Av. San Martín #1476,63449600,Zona Este,Sucre,G3
977,1,2000977,Mónica Vega Castillo,1975-10-15,M,Calle Sucre #1477,63241005,Equipetrol,Potosí,G3
978,1,2000978,Gustavo Miranda Salazar,1998-08-07,F,Av. Independencia #1478,61299087,Radial 13,Cochabamba,G3
979,1,2000979,Lucía Torres Sánchez,1954-11-14,M,Calle Junín #1479,65665807,Hamacas,Tarija,G3
980,1,2000980,Óscar Vargas Vargas,2002-05-18,F,Av. Brasil #1480,68202629,Zona Central,Cochabamba,G3
981,1,2000981,Teresa Ríos Ponce,1980-03-07,F,Calle Colón #1481,67934558,Los Lotes,Cobija,G3
982,1,2000982,Iván Martínez Pérez,2013-04-11,M,Av. Busch #1482,61588565,Radial 17,Sucre,G3
983,1,2000983,Silvia Díaz Ramos,1990-02-18,F,Calle Jordán #1483,68696990,Cotoca,Trinidad,G3
984,1,2000984,Carlos Herrera Núñez,1984-11-29,F,Av. Principal #1484,61586549,Montero,El Alto,G3
985,1,2000985,Laura Chávez Hernández,1998-06-05,F,Calle Comercio #1485,65400707,Radial 10,La Paz,G3
986,1,2000986,Diego Pérez Ortiz,1958-04-03,M,Av. Libertad #1486,61638176,Equipetrol,Potosí,G3
987,1,2000987,Camila Gutiérrez Ríos,2000-02-25,F,Calle Bolívar #1487,66758231,Zona Norte,Santa Cruz,G3
1050,1,2001050,Juan Delgado Flores,1975-04-05,F,Av. Independencia #1550,64573081,Zona Central,Cochabamba,G3
1051,1,2001051,Ana Rodríguez Rojas,1964-11-26,M,Calle Junín #1551,62623598,Plan 3000,Tarija,G3
1052,1,2001052,Miguel Gómez Contreras,1978-06-22,M,Av. Brasil #1552,63952264,Radial 13,Cochabamba,G3
1053,1,2001053,Valentina Rojas Torres,2004-09-26,F,Calle Colón #1553,65808789,Zona Oeste,Oruro,G3
1054,1,2001054,Luis Salazar Mendoza,1956-04-25,F,Av. Busch #1554,63840656,Zona Sur,La Paz,G3
1055,1,2001055,Gabriela Hernández Chávez,1994-08-05,M,Calle Jordán #1555,69776908,Plan 3000,Tarija,G3
1056,1,2001056,Ricardo Reyes Ramírez,2013-07-23,F,Av. Principal #1556,68461102,Radial 10,La Paz,G3
1057,1,2001057,Natalia Vega Castillo,1970-04-23,M,Calle Comercio #1557,63785407,Plan 3000,Tarija,G3
1058,1,2001058,Pablo Miranda Salazar,1996-10-13,M,Av. Libertad #1558,67315299,Montero,El Alto,G3
1059,1,2001059,Paola Torres Sánchez,1974-03-13,M,Calle Bolívar #1559,65114755,Plan 3000,Tarija,G3
1060,1,2001060,Héctor Vargas Vargas,1978-12-12,M,Av. San Martín #1560,68368929,Equipetrol,Potosí,G3
1061,1,2001061,Patricia Ríos Ponce,1983-10-01,M,Calle Sucre #1561,62532363,Montero,El Alto,G3
1125,1,2001125,Carolina Morales Medina,1994-09-25,M,Calle Colón #1625,61179000,Plan 3000,Tarija,G3
1126,1,2001126,Sergio Aguilar Miranda,1958-11-11,M,Av. Busch #1626,61177406,Cotoca,Trinidad,G3
1127,1,2001127,Mónica Espinoza Rivera,1954-07-08,M,Calle Jordán #1627,61120294,Cotoca,Trinidad,G3
1128,1,2001128,Gustavo Ramírez Herrera,1980-02-08,M,Av. Principal #1628,61468451,Zona Oeste,Oruro,G3
1192,1,2001192,Eduardo Núñez Reyes,2015-04-01,F,Av. San Martín #1692,67421671,Radial 13,Cochabamba,G3
1193,1,2001193,Claudia López Campos,2004-07-31,F,Calle Sucre #1693,66944815,Zona Oeste,Oruro,G3
1257,1,2001257,Natalia Vega Castillo,2008-08-22,M,Calle Colón #1757,67335480,Plan 3000,Tarija,G3
1258,1,2001258,Pablo Miranda Salazar,1996-03-18,M,Av. Busch #1758,61900849,Urbarí,Trinidad,G3
1259,1,2001259,Paola Torres Sánchez,1960-11-30,M,Calle Jordán #1759,67138234,Radial 10,La Paz,G3
1260,1,2001260,Héctor Vargas Vargas,2014-04-11,F,Av. Principal #1760,66949051,Urbarí,Trinidad,G3
1261,1,2001261,Patricia Ríos Ponce,1974-10-10,M,Calle Comercio #1761,67883645,Zona Norte,Santa Cruz,G3
1262,1,2001262,Marco Martínez Pérez,1957-08-12,M,Av. Libertad #1762,64684215,Pampa de la Isla,El Alto,G3
1263,1,2001263,Elena Díaz Ramos,1965-09-07,M,Calle Bolívar #1763,65585670,Villa 1ro de Mayo,Santa Cruz,G3
1264,1,2001264,Adrián Herrera Núñez,1964-09-23,F,Av. San Martín #1764,65850812,Radial 10,La Paz,G3
1265,1,2001265,Marta Chávez Hernández,1966-04-12,M,Calle Sucre #1765,62037847,Zona Norte,Santa Cruz,G3
1266,1,2001266,Tomás Pérez Ortiz,2005-03-15,F,Av. Independencia #1766,65552819,Zona Sur,La Paz,G3
1267,1,2001267,María Gutiérrez Ríos,2010-03-09,M,Calle Junín #1767,67987199,Radial 26,Oruro,G3
1268,1,2001268,Pedro Castro González,1953-09-25,F,Av. Brasil #1768,62342254,Zona Oeste,Oruro,G3
1269,1,2001269,Sofía Molina Gutiérrez,1950-09-24,F,Calle Colón #1769,69660834,Zona Sur,La Paz,G3
1270,1,2001270,Jorge Flores Delgado,2004-04-14,F,Av. Busch #1770,64419010,Zona Central,Cochabamba,G3
1334,1,2001334,Carlos Salazar Mendoza,1974-03-11,F,Av. Libertad #1834,69079173,Equipetrol,Potosí,G3
1335,1,2001335,Laura Hernández Chávez,2016-02-27,F,Calle Bolívar #1835,63373319,La Guardia,Potosí,G3
1336,1,2001336,Diego Reyes Ramírez,1993-01-28,M,Av. San Martín #1836,66153483,Zona Central,Cochabamba,G3
1337,1,2001337,Camila Vega Castillo,2013-10-18,M,Calle Sucre #1837,66389570,Pampa de la Isla,El Alto,G3
1338,1,2001338,Andrés Miranda Salazar,1989-09-29,M,Av. Independencia #1838,66534285,Zona Norte,Santa Cruz,G3
1339,1,2001339,Isabella Torres Sánchez,2009-11-09,M,Calle Junín #1839,65009204,Equipetrol,Potosí,G3
1340,1,2001340,Fernando Vargas Vargas,2004-02-05,F,Av. Brasil #1840,68142758,Radial 10,La Paz,G3
1341,1,2001341,Alejandra Ríos Ponce,1951-07-30,M,Calle Colón #1841,65521362,Zona Oeste,Oruro,G3
1406,1,2001406,Ricardo Aguilar Miranda,1982-01-25,F,Av. Libertad #1906,68123520,Pampa de la Isla,El Alto,G3
1407,1,2001407,Natalia Espinoza Rivera,1974-05-25,M,Calle Bolívar #1907,67526459,Urbarí,Trinidad,G3
1471,1,2001471,Fernanda Castillo López,1990-02-20,M,Calle Junín #1971,66633527,Radial 13,Cochabamba,G3
1472,1,2001472,José Núñez Reyes,1985-07-06,M,Av. Brasil #1972,65845728,Radial 10,La Paz,G3
1473,1,2001473,Daniela López Campos,2006-10-31,M,Calle Colón #1973,61250434,Warnes,Cobija,G3
1474,1,2001474,Roberto Cruz Martínez,2017-01-06,M,Av. Busch #1974,66395577,Plan 3000,Tarija,G3
1475,1,2001475,Carolina Medina Morales,1968-08-11,M,Calle Jordán #1975,65884024,Plan 3000,Tarija,G3
1476,1,2001476,Sergio Contreras Castro,2002-09-27,M,Av. Principal #1976,67142437,Warnes,Cobija,G3
1477,1,2001477,Mónica Sánchez Rodríguez,1977-09-01,M,Calle Comercio #1977,63490926,Warnes,Cobija,G3
1478,1,2001478,Gustavo Ortiz Cruz,1981-03-16,M,Av. Libertad #1978,63637112,Zona Central,Cochabamba,G3
1479,1,2001479,Lucía Campos Vega,2010-06-20,F,Calle Bolívar #1979,66552914,Equipetrol,Potosí,G3
1480,1,2001480,Óscar García García,1975-11-10,F,Av. San Martín #1980,62896980,Los Lotes,Cobija,G3
1481,1,2001481,Teresa Rivera Díaz,2012-03-23,M,Calle Sucre #1981,62080946,Urbarí,Trinidad,G3
1482,1,2001482,Iván Mendoza Aguilar,1980-03-03,F,Av. Independencia #1982,65826559,La Guardia,Potosí,G3
1483,1,2001483,Silvia Ponce Molina,1963-06-18,M,Calle Junín #1983,68803400,Zona Norte,Santa Cruz,G3
1484,1,2001484,Carlos González Gómez,2015-05-21,M,Av. Brasil #1984,69668111,Zona Sur,La Paz,G3
1485,1,2001485,Laura Morales Medina,1973-04-13,F,Calle Colón #1985,65812850,Zona Norte,Santa Cruz,G3
1486,1,2001486,Diego Aguilar Miranda,1980-07-09,F,Av. Busch #1986,69922395,Plan 3000,Tarija,G3
1487,1,2001487,Camila Espinoza Rivera,2006-02-15,F,Calle Jordán #1987,68451749,Radial 10,La Paz,G3
1551,1,2001551,Ana Castillo López,1993-06-22,M,Calle Bolívar #2051,64134608,Plan 3000,Tarija,G3
1552,1,2001552,Miguel Núñez Reyes,1999-07-02,M,Av. San Martín #2052,67465144,Zona Oeste,Oruro,G3
1553,1,2001553,Valentina López Campos,1969-05-08,M,Calle Sucre #2053,65829230,Equipetrol,Potosí,G3
1554,1,2001554,Luis Cruz Martínez,1978-11-16,F,Av. Independencia #2054,68945179,Radial 17,Sucre,G3
1618,1,2001618,Pedro Miranda Salazar,2004-04-04,F,Av. Busch #2118,68490481,Urbarí,Trinidad,G3
1619,1,2001619,Sofía Torres Sánchez,2004-09-25,M,Calle Jordán #2119,64265786,Zona Oeste,Oruro,G3
1620,1,2001620,Jorge Vargas Vargas,2000-01-03,M,Av. Principal #2120,64064464,Zona Norte,Santa Cruz,G3
1621,1,2001621,Fernanda Ríos Ponce,1955-07-06,F,Calle Comercio #2121,66537298,Plan 3000,Tarija,G3
1622,1,2001622,José Martínez Pérez,1977-11-11,F,Av. Libertad #2122,61737325,Zona Sur,La Paz,G3
1623,1,2001623,Daniela Díaz Ramos,2008-02-19,M,Calle Bolívar #2123,64469482,Warnes,Cobija,G3
1624,1,2001624,Roberto Herrera Núñez,1987-05-02,M,Av. San Martín #2124,67450010,Zona Oeste,Oruro,G3
1625,1,2001625,Carolina Chávez Hernández,1975-01-21,M,Calle Sucre #2125,65694905,Plan 3000,Tarija,G3
1626,1,2001626,Sergio Pérez Ortiz,1996-10-19,M,Av. Independencia #2126,66528203,Zona Este,Sucre,G3
1627,1,2001627,Mónica Gutiérrez Ríos,2003-11-02,F,Calle Junín #2127,67700061,La Guardia,Potosí,G3
1628,1,2001628,Gustavo Castro González,1962-03-20,F,Av. Brasil #2128,63120150,Montero,El Alto,G3
1693,1,2001693,Claudia Rojas Torres,1953-07-26,M,Calle Comercio #2193,68760757,Zona Norte,Santa Cruz,G3
1694,1,2001694,Raúl Salazar Mendoza,1980-08-20,M,Av. Libertad #2194,62954138,Urbarí,Trinidad,G3
1695,1,2001695,Verónica Hernández Chávez,1963-02-07,M,Calle Bolívar #2195,65593001,Radial 10,La Paz,G3
1696,1,2001696,Álvaro Reyes Ramírez,1986-01-06,F,Av. San Martín #2196,63557510,Zona Oeste,Oruro,G3
1697,1,2001697,Rosa Vega Castillo,1957-11-16,F,Calle Sucre #2197,65065929,Plan 3000,Tarija,G3
1761,1,2001761,Patricia Rivera Díaz,1969-01-01,F,Calle Colón #2261,67698997,Zona Sur,La Paz,G3
1762,1,2001762,Marco Mendoza Aguilar,1953-11-08,M,Av. Busch #2262,61971471,Pampa de la Isla,El Alto,G3
1763,1,2001763,Elena Ponce Molina,1977-02-24,F,Calle Jordán #2263,63572996,Radial 10,La Paz,G3
